"term","hr","lo","hi","p","stratum","def","domain","n_pt","events"
"zivs",1.4329608916879,1.12375118286737,1.82725228539255,0.00372225529484867,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"zbmi",0.956783582521928,0.700856998868785,1.30616491703878,0.780876737863943,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"eglt30",3.07668861696736,0.944602029162553,10.0211650552654,0.0621248239122494,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"eg30to60",1.81730527460385,0.900894294367424,3.66591117487533,0.0952187735381102,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"af_prior",0.928248268037196,0.433165583952184,1.9891812254622,0.848157981019338,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"esrd_prior",3.22331930622355,0.778302691871278,13.3492887258211,0.106461830174225,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"dm_prior",1.36399914437174,0.747352934451649,2.48944451822072,0.311882535539226,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"htn_prior",1.45288512254105,0.643433007188954,3.28064484680877,0.36869500058405,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"cad_prior",0.497766048779932,0.230017665372677,1.07718265428242,0.0765221294268005,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"age10",1.25026045390965,1.17564420335273,1.32961247812267,1.12658290613887e-12,"progression","first","D3 prior-only AF and dialysis",6945,1606
"male",0.728606212542788,0.648830752871395,0.81819027628792,8.71830789685766e-08,"progression","first","D3 prior-only AF and dialysis",6945,1606
"av_catmild",1.03313284310161,0.87696089809916,1.21711637749044,0.696666694724375,"progression","first","D3 prior-only AF and dialysis",6945,1606
"av_catmod",2.12804698388202,1.74352303918926,2.59737546554887,1.109897557977e-13,"progression","first","D3 prior-only AF and dialysis",6945,1606
"av_catsev",3.0712875554494,2.30643932985636,4.08977037728793,1.59872436038251e-14,"progression","first","D3 prior-only AF and dialysis",6945,1606
